campaign_id,campaign_name,platform,impressions,clicks,leads,customers,ad_spend,revenue,retained_customers,total_customers,brand_score,brand_mentions,industry_mentions,likes,comments,shares,followers
69,Campaign 69,Google Ads,91456,7658,3606,1374,9944,59420.38,1097,1374,70,1133,10296,9512,87,485,25194
70,Campaign 70,TikTok,110952,15279,5742,578,18279,87224.79,316,578,98,2141,15246,3573,580,390,67939
71,Campaign 71,TikTok,18529,1018,237,93,4793,36264.01,74,93,65,748,10091,8441,174,49,82199
72,Campaign 72,Facebook,8584,1216,538,76,7862,62530.75,45,76,81,1295,13337,8060,170,683,45838
73,Campaign 73,TikTok,113918,14815,5433,2477,8486,40229.74,1534,2477,97,659,19156,6784,245,633,19150
74,Campaign 74,TikTok,77416,7572,2149,1020,17137,61745.23,511,1020,87,2803,13022,5134,793,325,29476
75,Campaign 75,Facebook,122059,17090,7363,2097,18585,122237.93,1820,2097,86,1668,8826,7960,379,213,63841
76,Campaign 76,Facebook,16441,1467,630,243,12992,56079.61,205,243,82,2517,10439,2992,557,57,23154
77,Campaign 77,Instagram,120423,4471,2601,1195,1002,6347.33,1016,1195,71,2652,16349,3029,126,500,62098
78,Campaign 78,Google Ads,26054,3748,1046,449,17985,76976.81,305,449,89,380,8846,8494,943,574,92727
79,Campaign 79,Instagram,80334,4530,823,304,3725,24444.26,177,304,51,288,10314,7769,220,730,17355
80,Campaign 80,Facebook,81904,6692,2204,661,5270,18261.52,540,661,61,423,14985,9772,748,204,60140
81,Campaign 81,LinkedIn,68132,8834,2055,442,15610,90966.15,338,442,68,2875,13955,4683,732,29,30706
82,Campaign 82,Facebook,24362,2052,912,391,10302,60098.08,303,391,74,2079,6747,4597,517,329,41091
83,Campaign 83,LinkedIn,104972,10419,3981,1575,10195,81112.97,1089,1575,67,133,14272,859,899,694,99889
84,Campaign 84,TikTok,17856,2661,1283,421,8040,45364.82,300,421,66,2876,17379,4088,701,214,96400
85,Campaign 85,Facebook,40855,5554,952,416,1791,6901.79,320,416,55,1308,10352,1046,643,393,64460
86,Campaign 86,Instagram,51042,2154,485,186,12488,64751.71,127,186,97,1487,18176,3195,313,513,25095
87,Campaign 87,Google Ads,127770,3744,662,181,13522,105520.53,161,181,66,2297,7024,6492,142,424,69609
88,Campaign 88,Facebook,101622,12039,6710,1744,19654,84240.05,1525,1744,80,202,15150,6586,160,711,83584
89,Campaign 89,Google Ads,90984,10904,2903,419,15713,117161.25,286,419,52,1346,13071,7189,169,163,25220
90,Campaign 90,Google Ads,30478,2227,1322,270,13235,62493.85,242,270,81,2621,11686,3031,956,444,46666
91,Campaign 91,Instagram,13576,1548,533,108,15028,70153.34,69,108,84,2741,10876,6442,151,722,17936
92,Campaign 92,Facebook,109369,5613,1338,258,15400,39270.62,183,258,58,2412,8362,849,101,361,18992
93,Campaign 93,Facebook,59305,4131,1367,472,5335,35914.49,388,472,84,1126,18082,546,333,168,32871
94,Campaign 94,Instagram,33816,549,121,12,12238,82482.99,7,12,53,619,17152,5804,66,198,65176
95,Campaign 95,Facebook,142910,5153,775,320,15189,101281.8,291,320,89,277,16915,2286,512,535,96363
96,Campaign 96,Google Ads,141695,11299,4881,1805,1520,3594.73,1392,1805,81,1916,6204,7080,486,722,20589
97,Campaign 97,LinkedIn,89439,10860,2301,297,4635,16918.19,297,297,88,2273,9831,9484,779,352,69469
98,Campaign 98,LinkedIn,137527,15471,2359,1047,4249,30239.1,743,1047,71,1957,11532,7546,512,253,64524
99,Campaign 99,Google Ads,29926,2859,1159,275,8852,37583.88,176,275,55,1868,6582,8270,118,113,58843
100,Campaign 100,LinkedIn,39108,4948,739,360,18905,75201.74,211,360,96,310,9712,7230,412,701,88696
