order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,cost,marketing_cost,session_id,purchased,refunded,cart_created,cart_purchased
57,21,2025-03-12,1019,1,156,156,77.03,13.09,711,1,0,1,1
58,107,2025-02-01,1026,2,119,238,101.31,34.15,399,1,0,1,1
59,2,2025-06-30,1038,5,20,100,74.27,31.37,874,1,0,1,1
60,57,2025-09-07,1028,4,285,1140,796.87,14.55,498,1,0,1,1
61,43,2025-08-28,1016,1,209,209,111.7,39.33,547,1,0,1,1
62,110,2025-03-11,1059,1,211,211,134.36,11.36,267,1,0,1,1
63,98,2025-05-23,1096,4,177,708,343.14,38.29,432,1,0,1,1
64,90,2025-04-25,1083,3,51,153,89.98,7.4,668,1,1,1,1
65,40,2025-05-03,1016,1,25,25,19.5,21.57,118,1,1,1,1
66,156,2025-11-07,1095,5,121,605,354.54,30.14,797,1,0,1,1
67,80,2025-10-22,1086,2,169,338,149.81,36.78,385,0,0,1,0
68,27,2025-12-23,1098,4,111,444,191.1,15.56,701,1,0,1,1
69,137,2025-08-08,1084,5,71,355,255.06,17.97,519,1,1,1,1
70,93,2025-11-22,1058,3,16,48,35.51,29.76,446,1,0,1,1
71,138,2025-09-05,1059,2,277,554,435.55,20.25,749,1,0,1,1
72,72,2025-08-19,1031,5,147,735,388.76,31.27,584,1,0,1,1
73,125,2025-04-19,1045,5,204,1020,545.25,32.92,349,1,0,1,1
74,62,2025-07-28,1062,3,151,453,281.91,24.43,247,1,0,1,1
75,76,2025-04-24,1051,4,261,1044,604.76,29.21,314,0,0,1,0
76,141,2025-06-19,1045,5,198,990,583.41,29.6,278,1,0,1,1
77,138,2025-12-20,1023,3,138,414,203.78,11.7,757,1,0,1,1
78,73,2025-02-21,1024,4,151,604,416.66,15.37,370,1,0,1,1
79,14,2025-10-11,1037,2,164,328,133.06,29.41,130,1,0,1,1
80,113,2025-06-24,1023,4,62,248,185.77,38.79,259,1,0,1,1
81,162,2025-12-18,1006,4,68,272,198.25,10.31,831,1,1,1,1
82,107,2025-11-07,1076,5,165,825,358.11,32.68,232,1,0,1,1
83,110,2025-06-06,1072,5,204,1020,591.81,26.74,625,1,0,1,1
84,62,2025-03-30,1070,1,116,116,75.42,7.63,3,1,0,1,1
85,74,2025-12-28,1036,4,240,960,648.72,29.6,465,1,1,1,1
86,170,2025-04-12,1054,1,129,129,99.27,9.02,231,1,0,1,1
87,43,2025-06-07,1076,2,146,292,213.35,31.21,583,0,0,1,0
88,70,2025-09-14,1069,3,234,702,315.72,22.28,83,1,0,1,1
89,7,2025-02-16,1029,5,30,150,113.37,38.67,857,1,0,1,1
90,11,2025-03-31,1060,5,20,100,79.98,23.16,453,1,0,1,1
91,24,2025-08-29,1044,3,102,306,244.43,19.29,329,1,0,1,1
92,103,2025-10-09,1004,1,92,92,48.94,20.92,323,1,0,1,1
93,1,2025-12-03,1069,3,175,525,234.34,21.17,56,1,0,1,1
94,14,2025-04-15,1034,2,275,550,299.59,24.22,295,1,0,1,1
95,62,2025-12-30,1020,4,258,1032,462.92,15.88,15,1,0,1,1
96,119,2025-03-02,1082,5,218,1090,476.64,34.13,511,1,0,1,1
97,121,2025-05-05,1058,3,270,810,552.55,24.29,393,1,0,1,1
98,18,2025-05-22,1098,2,270,540,377.2,32.65,425,0,0,1,0
99,77,2025-10-28,1074,3,269,807,409.04,39.96,502,0,0,1,0
100,140,2025-07-13,1058,2,238,476,292.95,37.65,891,1,0,1,1
101,12,2025-06-12,1095,2,132,264,165.98,21.55,831,1,0,1,1
102,39,2025-09-11,1004,4,207,828,658.56,9.42,605,1,0,1,1
103,117,2025-01-08,1092,3,61,183,137.19,10.05,892,1,0,1,1
104,178,2025-07-23,1083,2,48,96,56.43,7.81,337,1,0,1,1
105,125,2025-10-05,1004,5,204,1020,797.29,26.61,241,1,0,1,1
106,163,2025-12-27,1012,3,126,378,264.11,20.53,711,1,0,1,1
107,96,2025-08-09,1018,3,24,72,30.12,13.55,422,1,0,1,1
108,98,2025-11-14,1087,5,102,510,238.68,13.43,598,0,0,1,0
109,3,2025-08-27,1036,2,128,256,149.62,28.72,162,1,0,1,1
110,109,2025-12-20,1032,1,236,236,183.63,20.99,310,1,0,1,1
111,98,2025-10-20,1045,2,206,412,305.43,25.12,717,0,0,1,0
112,145,2025-12-18,1099,3,21,63,49.84,31.06,51,1,0,1,1
113,59,2025-11-07,1045,5,264,1320,967.74,12.67,195,1,0,1,1
114,36,2025-11-18,1012,5,138,690,463.06,36.62,662,1,0,1,1
115,94,2025-03-09,1011,1,168,168,120.19,36.84,335,0,0,1,0
116,94,2025-09-29,1064,4,99,396,190.21,36.97,851,1,0,1,1
117,76,2025-06-23,1014,2,141,282,215.9,21.39,78,1,0,1,1
118,143,2025-07-07,1011,2,125,250,186.01,32.67,15,1,0,1,1
119,68,2025-10-27,1048,3,284,852,382.92,33.78,381,1,0,1,1
120,84,2025-11-09,1028,1,129,129,75.93,27.67,651,1,0,1,1
121,12,2025-01-20,1038,4,164,656,432.76,39.86,119,0,0,1,0
122,117,2025-07-09,1085,1,130,130,98.14,38.23,714,0,0,1,0
123,168,2025-02-20,1062,5,224,1120,711.13,26.55,287,1,0,1,1
124,93,2025-02-20,1087,1,199,199,96.89,17.86,661,1,0,1,1
125,117,2025-02-16,1084,3,41,123,68.79,12.42,655,1,0,1,1
126,145,2025-04-16,1008,5,20,100,42.02,34.04,568,1,0,1,1
127,153,2025-01-02,1035,2,120,240,174.05,35.04,149,1,0,1,1
128,7,2025-03-09,1001,2,286,572,286.15,17.54,808,1,0,1,1
129,108,2025-09-27,1014,2,175,350,142.21,31.1,488,1,0,1,1
130,129,2025-04-24,1078,4,195,780,472.13,6.52,803,0,0,1,0
131,123,2025-07-25,1054,5,164,820,478.24,29.01,503,1,1,1,1
132,33,2025-05-21,1079,4,47,188,142.82,27.16,562,1,0,1,1
133,155,2025-08-09,1012,3,205,615,490.68,32.76,118,1,0,1,1
134,117,2025-07-24,1053,5,120,600,343.22,30.54,321,1,0,1,1
135,122,2025-02-04,1011,4,170,680,452.91,34.11,96,1,0,1,1
136,16,2025-10-28,1071,4,59,236,164.69,24.66,687,1,0,1,1
137,14,2025-05-28,1076,1,220,220,119.12,15.94,107,1,0,1,1
138,28,2025-06-29,1071,5,269,1345,652.45,17.86,781,1,0,1,1
139,160,2025-11-11,1086,3,125,375,271.08,27.49,27,1,0,1,1
140,87,2025-06-29,1000,5,146,730,300.45,11.35,147,1,0,1,1
141,24,2025-09-29,1027,5,215,1075,459.92,18.17,465,1,0,1,1
142,146,2025-11-02,1010,3,90,270,147.97,35.92,160,1,0,1,1
143,125,2025-11-07,1056,2,35,70,46.87,19.5,221,1,0,1,1
144,174,2025-12-14,1075,5,68,340,182.94,22.03,684,0,0,1,0
145,53,2025-06-04,1027,3,33,99,48.33,31.86,783,1,1,1,1
146,111,2025-03-31,1016,3,158,474,251.81,18.31,721,0,0,1,0
147,102,2025-01-22,1055,2,266,532,331.7,5.66,80,1,0,1,1
148,30,2025-07-27,1002,3,229,687,432.37,38.82,176,1,0,1,1
149,28,2025-05-05,1055,5,245,1225,897.69,25.61,537,1,0,1,1
150,44,2025-02-09,1065,1,212,212,158.62,27.16,544,1,0,1,1
151,166,2025-03-17,1030,5,109,545,415.49,8.6,263,1,0,1,1
152,46,2025-11-18,1063,2,98,196,125.63,21.24,578,1,0,1,1
153,160,2025-06-15,1080,5,239,1195,803.58,16.06,451,1,0,1,1
154,15,2025-06-30,1064,1,250,250,144.22,7.6,473,1,0,1,1
155,24,2025-11-11,1076,4,29,116,49.04,22.75,474,1,1,1,1
156,147,2025-11-30,1024,5,293,1465,1145.18,16.25,488,1,1,1,1
157,88,2025-02-13,1064,5,87,435,340.64,27.61,41,1,0,1,1
158,94,2025-07-10,1036,2,234,468,372.71,18.56,794,1,0,1,1
159,25,2025-10-13,1086,3,36,108,77.29,18.53,259,1,1,1,1
160,90,2025-06-08,1083,5,86,430,229.34,29.45,402,1,0,1,1
161,33,2025-12-10,1089,2,53,106,55.53,34.01,757,1,0,1,1
162,93,2025-06-08,1023,5,57,285,187.65,38.29,350,1,0,1,1
163,20,2025-06-01,1100,4,108,432,211.95,8.54,790,0,0,1,0
164,34,2025-11-02,1048,5,279,1395,579.06,10.4,186,1,0,1,1
165,94,2025-12-13,1092,5,94,470,323.58,13.31,455,0,0,1,0
166,62,2025-06-08,1100,5,155,775,543.24,21.42,856,1,0,1,1
167,73,2025-07-15,1064,2,198,396,265.84,23.46,166,1,0,1,1
168,124,2025-07-10,1070,2,80,160,119.87,37.7,729,0,0,1,0
169,132,2025-03-17,1055,5,73,365,187.62,8.21,228,1,0,1,1
170,96,2025-05-01,1049,4,188,752,580.69,39.81,384,1,0,1,1
171,167,2025-06-21,1018,2,24,48,25.32,9.82,294,0,0,1,0
172,21,2025-01-10,1032,4,81,324,227.95,12.55,154,1,0,1,1
173,32,2025-01-25,1030,5,280,1400,797.02,19.69,813,1,0,1,1
174,138,2025-01-09,1080,5,244,1220,518.65,23.04,248,1,0,1,1
175,107,2025-04-06,1085,2,159,318,181.8,28.39,537,1,0,1,1
176,130,2025-10-11,1002,3,44,132,103.14,18.67,482,1,0,1,1
177,18,2025-06-26,1030,1,208,208,164.82,30.65,644,1,1,1,1
178,165,2025-03-31,1099,1,180,180,81.61,28.96,713,1,0,1,1
179,118,2025-01-19,1037,4,103,412,298.53,12.06,811,0,0,1,0
180,140,2025-08-31,1032,2,31,62,32.63,6.28,663,1,0,1,1
181,85,2025-05-20,1015,2,156,312,169.35,32.98,448,1,0,1,1
182,128,2025-12-21,1063,4,235,940,712.38,17.86,817,1,0,1,1
183,155,2025-04-03,1069,5,146,730,525.94,15.28,106,1,1,1,1
184,110,2025-03-27,1088,1,177,177,117.59,20.54,458,1,0,1,1
185,15,2025-02-08,1085,1,190,190,122.73,27.31,373,1,0,1,1
186,156,2025-12-14,1100,5,91,455,355.41,20.34,130,0,0,1,0
187,146,2025-01-17,1077,1,130,130,92.48,10.37,461,1,0,1,1
188,36,2025-09-29,1046,3,200,600,346.55,18.93,666,0,0,1,0
189,48,2025-09-13,1066,3,137,411,322.31,18.54,576,0,0,1,0
190,157,2025-05-27,1088,1,144,144,102.24,37.08,503,1,0,1,1
191,45,2025-08-16,1011,2,72,144,65.42,33.37,866,0,0,1,0
192,77,2025-03-22,1091,3,187,561,383.62,29.83,718,1,0,1,1
193,52,2025-03-13,1030,2,195,390,235.37,32.66,27,0,0,1,0
194,34,2025-11-10,1011,3,293,879,552.81,7.3,408,1,0,1,1
195,33,2025-06-12,1082,4,279,1116,629.78,7.6,478,1,0,1,1
196,151,2025-04-04,1098,5,186,930,419.74,38.82,444,1,0,1,1
197,42,2025-06-15,1090,5,38,190,139.19,12.89,532,1,0,1,1
198,33,2025-11-17,1038,3,50,150,75.04,26.5,96,1,0,1,1
199,160,2025-11-06,1043,5,96,480,305.63,34.49,578,1,0,1,1
200,68,2025-11-30,1026,1,24,24,10.38,31.84,427,1,0,1,1
201,78,2025-09-05,1031,5,25,125,74.9,33.16,702,1,0,1,1
202,107,2025-09-05,1059,4,162,648,376.76,12.14,622,1,0,1,1
203,89,2025-07-24,1016,2,170,340,253.16,31.62,528,1,0,1,1
204,64,2025-03-14,1012,5,64,320,168.85,6.77,394,1,0,1,1
205,84,2025-10-23,1092,5,224,1120,559.23,15.95,782,1,0,1,1
206,128,2025-01-12,1011,2,265,530,423.15,38.08,518,1,0,1,1
207,127,2025-11-02,1083,4,133,532,258.58,28.54,293,1,1,1,1
208,94,2025-07-26,1046,5,14,70,51.72,6.58,53,1,0,1,1
209,130,2025-08-19,1097,5,297,1485,709.63,24.24,846,1,1,1,1
210,96,2025-06-23,1071,5,70,350,158.01,37.86,774,0,0,1,0
211,10,2025-03-12,1091,2,111,222,142.3,16.66,486,1,1,1,1
212,157,2025-06-13,1020,5,243,1215,558.39,18.75,632,1,0,1,1
213,145,2025-06-03,1060,3,182,546,329.2,33.55,378,1,0,1,1
214,177,2025-11-19,1003,3,66,198,156.81,25.89,272,1,0,1,1
215,162,2025-11-14,1099,5,126,630,433.79,34.44,152,1,0,1,1
216,113,2025-06-10,1053,2,26,52,32.71,10.3,708,1,0,1,1
217,16,2025-12-28,1017,2,220,440,264.32,23.15,575,1,0,1,1
218,137,2025-06-25,1069,3,254,762,464.97,17.4,791,1,0,1,1
219,58,2025-06-02,1098,3,257,771,367.69,15.12,213,1,0,1,1
220,71,2025-05-28,1015,4,172,688,407.24,25.07,557,1,0,1,1
221,75,2025-01-22,1036,4,212,848,616.79,38.44,81,1,0,1,1
222,138,2025-05-19,1071,3,236,708,468.97,29.37,141,1,0,1,1
223,164,2025-04-30,1006,1,132,132,65.6,8.51,339,1,0,1,1
224,141,2025-03-22,1052,4,61,244,164.08,27.85,900,0,0,1,0
225,74,2025-11-27,1007,4,254,1016,670.78,36.78,92,1,0,1,1
226,45,2025-08-02,1022,5,128,640,393.0,37.69,38,1,0,1,1
227,75,2025-01-20,1001,4,263,1052,499.2,15.44,618,1,0,1,1
228,127,2025-03-10,1064,1,181,181,93.0,21.38,198,1,0,1,1
229,48,2025-01-08,1094,1,179,179,83.23,16.8,303,1,0,1,1
230,110,2025-09-21,1041,5,108,540,253.91,8.04,686,1,0,1,1
231,2,2025-05-14,1049,1,104,104,82.44,13.24,772,1,0,1,1
232,168,2025-07-04,1088,3,178,534,278.1,13.27,684,1,1,1,1
233,80,2025-12-20,1015,1,248,248,129.64,27.35,303,1,0,1,1
234,40,2025-08-21,1095,3,123,369,179.94,39.61,383,0,0,1,0
235,56,2025-05-07,1087,4,291,1164,890.6,31.42,895,1,0,1,1
236,145,2025-02-27,1007,1,279,279,161.46,34.01,518,1,1,1,1
237,30,2025-12-15,1026,2,284,568,261.25,30.09,501,1,0,1,1
238,34,2025-09-20,1053,1,271,271,156.69,20.99,60,0,0,1,0
239,66,2025-01-02,1095,5,246,1230,823.0,12.63,75,1,1,1,1
240,16,2025-02-05,1060,1,226,226,121.55,6.11,419,0,0,1,0
241,108,2025-07-11,1048,2,79,158,111.6,20.7,387,1,0,1,1
242,168,2025-06-28,1015,4,51,204,137.31,11.25,551,1,0,1,1
243,6,2025-06-02,1059,4,280,1120,505.05,28.57,558,1,0,1,1
244,40,2025-05-22,1024,4,282,1128,622.33,37.81,743,1,0,1,1
245,5,2025-05-04,1026,1,26,26,18.82,7.36,609,1,0,1,1
246,12,2025-07-25,1056,1,238,238,152.11,13.2,223,1,1,1,1
247,148,2025-06-13,1073,1,81,81,48.73,25.93,689,1,0,1,1
248,170,2025-09-24,1028,3,131,393,204.64,19.47,282,0,0,1,0
249,161,2025-12-14,1054,1,295,295,229.93,24.45,49,1,0,1,1
250,39,2025-06-03,1048,3,205,615,439.31,11.44,551,1,0,1,1
251,119,2025-01-30,1071,4,133,532,393.54,19.44,427,1,0,1,1
252,166,2025-02-10,1057,5,281,1405,637.36,34.65,95,1,0,1,1
253,11,2025-02-07,1024,5,107,535,225.03,33.16,602,1,0,1,1
254,4,2025-04-19,1024,5,121,605,358.01,38.67,121,1,0,1,1
255,62,2025-10-10,1041,4,134,536,363.54,32.14,390,1,0,1,1
256,128,2025-08-27,1012,4,283,1132,746.54,33.1,740,1,0,1,1
257,145,2025-04-24,1094,4,173,692,529.89,10.11,268,1,0,1,1
258,146,2025-05-06,1063,5,223,1115,577.66,24.27,702,1,0,1,1
259,126,2025-08-24,1021,3,141,423,298.36,30.65,361,1,0,1,1
260,139,2025-11-25,1007,2,81,162,111.48,23.34,860,1,0,1,1
261,60,2025-02-04,1090,1,34,34,24.0,10.29,224,1,0,1,1
262,158,2025-09-05,1084,5,243,1215,667.38,22.07,7,1,0,1,1
263,71,2025-10-02,1036,5,292,1460,824.22,5.6,833,0,0,1,0
264,39,2025-05-04,1024,4,101,404,178.89,26.69,259,0,0,1,0
265,104,2025-08-24,1072,3,146,438,314.47,13.51,714,0,0,1,0
266,167,2025-01-17,1011,2,163,326,219.6,19.18,387,1,0,1,1
267,44,2025-02-12,1063,5,253,1265,534.39,34.59,661,0,0,1,0
268,11,2025-04-28,1027,3,299,897,709.47,36.54,709,1,0,1,1
269,72,2025-10-06,1072,5,253,1265,643.17,28.03,184,1,0,1,1
270,102,2025-02-09,1038,3,18,54,42.37,10.69,247,1,0,1,1
271,36,2025-12-19,1092,5,209,1045,701.0,7.74,764,1,0,1,1
272,155,2025-11-11,1076,3,37,111,48.74,18.88,793,1,1,1,1
273,59,2025-07-02,1070,3,25,75,49.02,37.94,443,1,0,1,1
274,19,2025-02-12,1034,2,204,408,177.19,10.4,729,1,0,1,1
275,2,2025-06-07,1056,2,209,418,220.15,17.6,277,0,0,1,0
276,132,2025-07-28,1013,1,77,77,33.49,5.92,363,1,0,1,1
277,4,2025-05-30,1052,5,57,285,182.05,18.57,87,1,0,1,1
278,36,2025-05-18,1038,5,134,670,421.29,14.39,150,1,0,1,1
279,20,2025-07-04,1032,1,95,95,54.52,38.05,739,1,0,1,1
280,2,2025-07-22,1042,4,110,440,256.58,34.46,390,0,0,1,0
281,153,2025-03-11,1038,3,235,705,376.4,16.22,712,1,0,1,1
282,75,2025-12-22,1081,2,255,510,268.09,22.19,590,1,0,1,1
283,30,2025-10-16,1025,2,176,352,193.75,25.73,559,1,0,1,1
284,54,2025-08-13,1037,2,291,582,239.07,34.09,71,1,0,1,1
285,40,2025-08-05,1048,4,265,1060,483.01,7.59,613,1,0,1,1
286,108,2025-10-06,1004,4,215,860,527.82,32.68,369,1,0,1,1
287,43,2025-11-28,1078,5,53,265,117.59,6.55,661,1,0,1,1
288,67,2025-04-24,1065,4,179,716,562.98,31.14,572,1,1,1,1
289,151,2025-12-20,1064,5,123,615,355.66,10.28,26,1,0,1,1
290,37,2025-06-28,1039,4,63,252,130.58,17.01,804,1,0,1,1
291,179,2025-08-20,1040,2,276,552,327.43,7.35,46,1,0,1,1
292,43,2025-05-05,1066,1,21,21,15.53,11.11,164,1,0,1,1
293,162,2025-04-05,1023,3,296,888,506.65,27.42,443,1,0,1,1
294,110,2025-07-19,1000,4,24,96,66.72,29.67,211,1,0,1,1
295,94,2025-06-16,1025,3,42,126,79.5,21.01,269,1,0,1,1
296,101,2025-10-28,1014,4,280,1120,880.73,17.18,866,1,0,1,1
297,158,2025-10-30,1010,4,98,392,284.39,28.52,321,1,0,1,1
298,131,2025-07-18,1053,1,132,132,68.92,25.87,589,1,0,1,1
299,166,2025-03-30,1071,4,226,904,428.77,10.84,296,1,0,1,1
300,92,2025-01-05,1062,2,105,210,110.42,9.78,835,1,1,1,1
301,107,2025-12-30,1056,4,297,1188,715.38,22.1,85,1,0,1,1
302,58,2025-10-03,1036,5,25,125,89.79,10.89,469,1,1,1,1
303,30,2025-05-18,1099,5,263,1315,815.16,24.01,376,0,0,1,0
304,109,2025-02-22,1094,5,31,155,109.12,34.05,770,1,0,1,1
305,68,2025-06-28,1011,2,162,324,242.98,20.37,121,0,0,1,0
306,157,2025-11-20,1054,2,117,234,169.48,10.81,143,1,0,1,1
307,153,2025-10-03,1021,2,115,230,166.1,16.33,721,1,0,1,1
308,174,2025-02-18,1017,3,158,474,298.19,38.7,805,1,0,1,1
309,34,2025-05-08,1018,4,40,160,127.52,29.9,849,1,0,1,1
310,107,2025-07-12,1057,2,211,422,251.42,7.64,814,1,0,1,1
311,95,2025-08-21,1062,1,216,216,130.95,16.46,3,1,0,1,1
312,137,2025-07-23,1027,1,244,244,159.56,38.88,845,1,0,1,1
313,148,2025-03-08,1072,2,263,526,266.9,34.83,808,1,0,1,1
314,5,2025-03-05,1020,3,34,102,42.67,20.45,1,1,0,1,1
315,78,2025-03-23,1035,4,113,452,360.82,8.27,370,1,0,1,1
316,102,2025-11-17,1039,3,52,156,85.6,30.41,774,1,0,1,1
317,123,2025-02-09,1016,2,229,458,303.28,25.78,532,1,1,1,1
318,109,2025-12-22,1016,4,14,56,22.58,21.72,235,1,0,1,1
319,81,2025-07-08,1038,4,55,220,152.31,9.8,793,0,0,1,0
320,43,2025-08-14,1044,2,83,166,70.94,30.29,644,1,0,1,1
321,26,2025-03-13,1096,2,220,440,284.43,9.31,748,1,0,1,1
322,71,2025-11-27,1010,4,189,756,593.69,13.69,616,1,0,1,1
323,169,2025-06-04,1026,5,155,775,551.48,23.12,522,1,0,1,1
324,62,2025-09-11,1049,2,210,420,217.65,8.95,512,0,0,1,0
325,82,2025-03-09,1049,5,46,230,140.6,35.13,583,1,0,1,1
326,19,2025-01-09,1075,4,197,788,487.41,7.36,269,1,0,1,1
327,74,2025-11-18,1091,2,30,60,46.14,22.54,426,1,0,1,1
328,72,2025-02-12,1039,4,215,860,372.36,7.77,209,1,0,1,1
329,167,2025-12-15,1082,2,284,568,301.44,7.31,716,1,0,1,1
330,112,2025-03-01,1058,4,132,528,223.43,26.43,57,0,0,1,0
331,42,2025-09-12,1044,3,99,297,132.99,23.31,802,1,0,1,1
332,31,2025-01-16,1042,3,95,285,156.39,33.25,279,1,0,1,1
333,128,2025-08-22,1065,5,42,210,106.09,17.6,512,1,0,1,1
334,147,2025-12-12,1092,5,95,475,259.86,9.04,759,1,0,1,1
335,121,2025-07-06,1049,5,11,55,22.97,37.21,184,1,0,1,1
336,58,2025-06-14,1031,1,293,293,211.33,19.57,738,1,0,1,1
337,173,2025-01-27,1022,3,148,444,324.3,12.81,529,1,0,1,1
338,80,2025-06-17,1011,1,215,215,91.93,24.36,9,1,0,1,1
339,63,2025-08-26,1047,3,112,336,173.59,25.71,506,1,0,1,1
340,105,2025-01-13,1029,2,289,578,407.02,23.95,652,1,1,1,1
341,79,2025-02-23,1026,1,181,181,72.51,23.54,244,1,0,1,1
342,72,2025-02-17,1005,4,261,1044,818.99,37.24,866,1,0,1,1
343,22,2025-10-25,1012,5,221,1105,751.77,22.69,653,1,0,1,1
344,170,2025-03-08,1030,4,48,192,122.26,15.21,872,0,0,1,0
345,70,2025-04-30,1009,3,211,633,430.62,38.02,140,1,0,1,1
346,105,2025-03-03,1068,5,65,325,150.2,17.54,789,1,0,1,1
347,41,2025-12-18,1038,2,241,482,252.24,33.92,714,1,0,1,1
348,64,2025-07-02,1050,5,30,150,72.9,22.97,694,1,0,1,1
349,116,2025-10-12,1095,3,143,429,312.33,24.25,97,1,0,1,1
350,4,2025-02-01,1099,4,62,248,178.95,39.39,134,0,0,1,0
351,150,2025-10-28,1033,2,215,430,236.03,37.11,77,1,0,1,1
352,24,2025-06-19,1015,1,43,43,20.6,6.49,473,1,0,1,1
353,128,2025-01-16,1048,1,96,96,73.89,28.91,177,1,0,1,1
354,39,2025-01-18,1078,3,119,357,272.51,26.67,252,1,0,1,1
355,72,2025-07-16,1017,3,265,795,449.01,19.67,659,1,1,1,1
356,98,2025-07-03,1061,5,137,685,446.83,24.06,497,1,0,1,1
357,82,2025-11-02,1028,3,299,897,539.06,6.03,831,1,0,1,1
358,150,2025-04-30,1020,3,39,117,84.65,8.5,673,1,0,1,1
359,57,2025-10-22,1049,2,146,292,179.13,17.42,860,1,0,1,1
360,92,2025-10-30,1003,2,100,200,98.92,29.62,361,1,0,1,1
361,127,2025-10-05,1039,5,298,1490,680.69,11.14,39,1,0,1,1
362,1,2025-06-19,1078,1,38,38,18.74,12.05,134,1,0,1,1
363,6,2025-03-17,1075,3,100,300,230.25,29.66,146,1,0,1,1
