invoice_no,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,date,day,month,year,month/year,quarter,week
I269690,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center,365.94,2022-02-07,7,2,2022,2022-02,1,6
I304265,Female,22,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul,378.75,2021-06-13,13,6,2021,2021-06,2,23
I246562,Female,61,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall,1016.5,2021-08-23,23,8,2021,2021-08,3,34
I202367,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park,136.35000000000002,2023-02-24,24,2,2023,2023-02,1,8
I664787,Female,53,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park,162.64,2023-01-12,12,1,2023,2023-01,1,2
I160777,Female,43,Technology,4,4200.0,Cash,22/02/2022,Metrocity,16800.0,2022-02-22,22,2,2022,2022-02,1,8
I137794,Female,45,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet,47.07,2021-03-12,12,3,2021,2021-03,1,10
I148377,Female,29,Clothing,1,300.08,Cash,2/1/2022,Istinye Park,300.08,2022-01-02,2,1,2022,2022-01,1,52
I258195,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon,143.36,2021-11-26,26,11,2021,2021-11,4,47
I300213,Female,19,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon,4801.28,2021-04-21,21,4,2021,2021-04,2,16
I263803,Female,67,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon,47.07,2021-06-23,23,6,2021,2021-06,2,25
I335713,Female,36,Books,4,60.6,Cash,14/12/2021,Kanyon,242.4,2021-12-14,14,12,2021,2021-12,4,50
I133061,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul,7502.0,2022-06-09,9,6,2022,2022-06,2,23
I207205,Female,33,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon,300.08,2021-11-26,26,11,2021,2021-11,4,47
I209289,Female,33,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon,4801.28,2021-02-05,5,2,2021,2021-02,1,5
I157285,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul,4801.28,2022-03-06,6,3,2022,2022-03,1,9
I218590,Female,29,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM,650.56,2022-05-09,9,5,2022,2022-05,2,19
I181109,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul,322.56,2022-10-17,17,10,2022,2022-10,4,42
I221715,Female,63,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM,47.07,2022-01-22,22,1,2022,2022-01,1,3
I204979,Female,24,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park,293.25,2021-03-14,14,3,2021,2021-03,1,10
I115146,Female,24,Cosmetics,5,203.3,Cash,27/04/2022,Metrocity,1016.5,2022-04-27,27,4,2022,2022-04,2,17
I883721,Female,44,Technology,5,5250.0,Credit Card,19/11/2021,Mall of Istanbul,26250.0,2021-11-19,19,11,2021,2021-11,4,46
I402376,Male,34,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul,15004.25,2022-09-10,10,9,2022,2022-09,3,36
I251356,Female,47,Cosmetics,4,162.64,Cash,4/9/2021,Kanyon,650.56,2021-09-04,4,9,2021,2021-09,3,35
I292239,Male,38,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul,130.75,2022-08-21,21,8,2022,2022-08,3,33
I276526,Female,57,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall,15004.25,2021-10-02,2,10,2021,2021-10,4,39
I260525,Male,67,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall,322.56,2023-01-07,7,1,2023,2023-01,1,1
I870944,Male,41,Souvenir,3,35.19,Credit Card,8/6/2021,Cevahir AVM,105.57,2021-06-08,8,6,2021,2021-06,2,23
I739573,Female,40,Clothing,5,1500.4,Debit Card,17/04/2021,Kanyon,7502.0,2021-04-17,17,4,2021,2021-04,2,15
I115870,Female,69,Shoes,4,2400.68,Cash,4/9/2021,Metrocity,9602.72,2021-09-04,4,9,2021,2021-09,3,35
I190444,Female,47,Food & Beverage,5,26.15,Cash,20/07/2022,Mall of Istanbul,130.75,2022-07-20,20,7,2022,2022-07,3,29
I309552,Female,53,Food & Beverage,4,20.92,Credit Card,14/07/2021,Istinye Park,83.68,2021-07-14,14,7,2021,2021-07,3,28
I306076,Male,40,Toys,2,71.68,Cash,1/11/2022,Emaar Square Mall,143.36,2022-11-01,1,11,2022,2022-11,4,44
I321683,Male,60,Cosmetics,4,162.64,Credit Card,6/1/2023,Metrocity,650.56,2023-01-06,6,1,2023,2023-01,1,1
I151332,Male,30,Souvenir,2,23.46,Cash,25/03/2021,Kanyon,46.92,2021-03-25,25,3,2021,2021-03,1,12
I340014,Female,66,Clothing,2,600.16,Credit Card,8/9/2022,Istinye Park,1200.32,2022-09-08,8,9,2022,2022-09,3,36
I249424,Male,22,Food & Beverage,1,5.23,Cash,18/02/2022,Mall of Istanbul,5.23,2022-02-18,18,2,2022,2022-02,1,7
I227716,Male,53,Food & Beverage,2,10.46,Cash,22/04/2021,Kanyon,20.92,2021-04-22,22,4,2021,2021-04,2,16
I140663,Female,52,Clothing,5,1500.4,Cash,15/10/2022,Zorlu Center,7502.0,2022-10-15,15,10,2022,2022-10,4,41
I253242,Male,26,Shoes,5,3000.85,Cash,7/4/2022,Mall of Istanbul,15004.25,2022-04-07,7,4,2022,2022-04,2,14
I108359,Male,66,Food & Beverage,1,5.23,Cash,7/6/2022,Mall of Istanbul,5.23,2022-06-07,7,6,2022,2022-06,2,23
I195567,Male,65,Clothing,4,1200.32,Debit Card,22/01/2023,Metropol AVM,4801.28,2023-01-22,22,1,2023,2023-01,1,3
I289643,Female,43,Technology,2,2100.0,Cash,22/08/2022,Kanyon,4200.0,2022-08-22,22,8,2022,2022-08,3,34
I722319,Female,59,Toys,1,35.84,Debit Card,3/10/2021,Kanyon,35.84,2021-10-03,3,10,2021,2021-10,4,39
I317105,Female,30,Souvenir,5,58.65,Debit Card,29/07/2021,Kanyon,293.25,2021-07-29,29,7,2021,2021-07,3,30
I215721,Female,25,Cosmetics,2,81.32,Debit Card,16/12/2022,Metrocity,162.64,2022-12-16,16,12,2022,2022-12,4,50
I154469,Female,29,Toys,3,107.52,Debit Card,3/6/2021,Mall of Istanbul,322.56,2021-06-03,3,6,2021,2021-06,2,22
I172458,Female,19,Clothing,2,600.16,Debit Card,17/12/2021,Cevahir AVM,1200.32,2021-12-17,17,12,2021,2021-12,4,50
I297270,Male,62,Clothing,5,1500.4,Credit Card,31/12/2022,Metropol AVM,7502.0,2022-12-31,31,12,2022,2022-12,4,52
I153930,Male,39,Food & Beverage,3,15.69,Cash,9/8/2022,Forum Istanbul,47.07,2022-08-09,9,8,2022,2022-08,3,32
I282854,Female,33,Clothing,3,900.24,Cash,31/07/2022,Kanyon,2700.7200000000003,2022-07-31,31,7,2022,2022-07,3,30
I869144,Female,26,Food & Beverage,4,20.92,Debit Card,4/5/2021,Mall of Istanbul,83.68,2021-05-04,4,5,2021,2021-05,2,18
I283443,Male,43,Technology,3,3150.0,Credit Card,25/05/2022,Viaport Outlet,9450.0,2022-05-25,25,5,2022,2022-05,2,21
I193271,Female,40,Food & Beverage,3,15.69,Debit Card,23/12/2022,Kanyon,47.07,2022-12-23,23,12,2022,2022-12,4,51
I985478,Male,55,Clothing,4,1200.32,Credit Card,24/01/2023,Kanyon,4801.28,2023-01-24,24,1,2023,2023-01,1,4
I200392,Female,24,Clothing,5,1500.4,Credit Card,14/09/2021,Viaport Outlet,7502.0,2021-09-14,14,9,2021,2021-09,3,37
I256691,Male,24,Cosmetics,1,40.66,Cash,4/2/2022,Metrocity,40.66,2022-02-04,4,2,2022,2022-02,1,5
I796162,Female,30,Food & Beverage,5,26.15,Credit Card,6/1/2022,Metrocity,130.75,2022-01-06,6,1,2022,2022-01,1,1
I224371,Male,34,Clothing,5,1500.4,Credit Card,1/2/2022,Mall of Istanbul,7502.0,2022-02-01,1,2,2022,2022-02,1,5
I215998,Female,64,Clothing,5,1500.4,Cash,26/10/2022,Cevahir AVM,7502.0,2022-10-26,26,10,2022,2022-10,4,43
I338966,Female,57,Clothing,5,1500.4,Cash,21/09/2022,Mall of Istanbul,7502.0,2022-09-21,21,9,2022,2022-09,3,38
I293215,Male,18,Cosmetics,4,162.64,Credit Card,12/12/2021,Istinye Park,650.56,2021-12-12,12,12,2021,2021-12,4,49
I149688,Female,26,Clothing,4,1200.32,Cash,21/08/2021,Zorlu Center,4801.28,2021-08-21,21,8,2021,2021-08,3,33
I109649,Female,19,Food & Beverage,3,15.69,Debit Card,8/10/2021,Emaar Square Mall,47.07,2021-10-08,8,10,2021,2021-10,4,40
I299820,Female,22,Books,3,45.45,Cash,22/11/2021,Kanyon,136.35000000000002,2021-11-22,22,11,2021,2021-11,4,47
I157775,Male,48,Clothing,1,300.08,Cash,19/03/2022,Kanyon,300.08,2022-03-19,19,3,2022,2022-03,1,11
I317140,Female,56,Souvenir,5,58.65,Cash,19/10/2022,Istinye Park,293.25,2022-10-19,19,10,2022,2022-10,4,42
I147334,Male,35,Clothing,2,600.16,Cash,12/1/2022,Viaport Outlet,1200.32,2022-01-12,12,1,2022,2022-01,1,2
I278121,Female,60,Toys,4,143.36,Debit Card,7/6/2021,Metrocity,573.44,2021-06-07,7,6,2021,2021-06,2,23
I134452,Female,32,Clothing,1,300.08,Credit Card,15/01/2023,Forum Istanbul,300.08,2023-01-15,15,1,2023,2023-01,1,2
I320846,Male,27,Clothing,4,1200.32,Credit Card,11/11/2021,Kanyon,4801.28,2021-11-11,11,11,2021,2021-11,4,45
I740676,Female,56,Clothing,2,600.16,Credit Card,21/09/2022,Istinye Park,1200.32,2022-09-21,21,9,2022,2022-09,3,38
I142331,Male,35,Cosmetics,4,162.64,Debit Card,30/05/2021,Metrocity,650.56,2021-05-30,30,5,2021,2021-05,2,21
I222983,Female,68,Clothing,1,300.08,Credit Card,23/12/2021,Metropol AVM,300.08,2021-12-23,23,12,2021,2021-12,4,51
I164665,Female,64,Technology,2,2100.0,Cash,30/04/2022,Kanyon,4200.0,2022-04-30,30,4,2022,2022-04,2,17
I133387,Female,60,Toys,4,143.36,Cash,7/6/2021,Forum Istanbul,573.44,2021-06-07,7,6,2021,2021-06,2,23
I276763,Male,64,Toys,5,179.2,Debit Card,21/02/2022,Kanyon,896.0,2022-02-21,21,2,2022,2022-02,1,8
I273890,Female,41,Clothing,3,900.24,Debit Card,26/08/2021,Emaar Square Mall,2700.7200000000003,2021-08-26,26,8,2021,2021-08,3,34
I774221,Male,30,Food & Beverage,5,26.15,Cash,15/12/2021,Metrocity,130.75,2021-12-15,15,12,2021,2021-12,4,50
I202171,Male,40,Clothing,1,300.08,Debit Card,20/02/2021,Mall of Istanbul,300.08,2021-02-20,20,2,2021,2021-02,1,7
I219780,Female,29,Clothing,2,600.16,Cash,8/10/2021,Kanyon,1200.32,2021-10-08,8,10,2021,2021-10,4,40
I160221,Male,25,Clothing,3,900.24,Cash,1/8/2022,Mall of Istanbul,2700.7200000000003,2022-08-01,1,8,2022,2022-08,3,31
I106691,Female,60,Clothing,4,1200.32,Cash,9/9/2021,Kanyon,4801.28,2021-09-09,9,9,2021,2021-09,3,36
I129886,Female,42,Food & Beverage,5,26.15,Cash,25/10/2021,Metrocity,130.75,2021-10-25,25,10,2021,2021-10,4,43
I745394,Male,54,Food & Beverage,1,5.23,Cash,14/12/2021,Metropol AVM,5.23,2021-12-14,14,12,2021,2021-12,4,50
I157056,Female,50,Clothing,5,1500.4,Cash,20/06/2021,Kanyon,7502.0,2021-06-20,20,6,2021,2021-06,2,24
I304531,Male,54,Clothing,1,300.08,Debit Card,7/4/2021,Metropol AVM,300.08,2021-04-07,7,4,2021,2021-04,2,14
I762439,Female,45,Books,4,60.6,Cash,5/12/2021,Metrocity,242.4,2021-12-05,5,12,2021,2021-12,4,48
I300972,Female,40,Cosmetics,1,40.66,Credit Card,25/05/2021,Zorlu Center,40.66,2021-05-25,25,5,2021,2021-05,2,21
I151588,Male,24,Books,3,45.45,Credit Card,12/4/2022,Metrocity,136.35000000000002,2022-04-12,12,4,2022,2022-04,2,15
I657069,Male,40,Clothing,4,1200.32,Cash,16/12/2021,Mall of Istanbul,4801.28,2021-12-16,16,12,2021,2021-12,4,50
I122655,Female,32,Technology,2,2100.0,Credit Card,21/02/2021,Metropol AVM,4200.0,2021-02-21,21,2,2021,2021-02,1,7
I236914,Female,28,Clothing,3,900.24,Cash,26/10/2021,Mall of Istanbul,2700.7200000000003,2021-10-26,26,10,2021,2021-10,4,43
I247471,Female,22,Toys,1,35.84,Cash,18/12/2022,Mall of Istanbul,35.84,2022-12-18,18,12,2022,2022-12,4,50
I362306,Female,21,Clothing,1,300.08,Credit Card,19/09/2022,Metrocity,300.08,2022-09-19,19,9,2022,2022-09,3,38
I215279,Female,31,Clothing,2,600.16,Credit Card,1/2/2023,Kanyon,1200.32,2023-02-01,1,2,2023,2023-02,1,5
I216061,Female,61,Food & Beverage,3,15.69,Credit Card,5/10/2022,Mall of Istanbul,47.07,2022-10-05,5,10,2022,2022-10,4,40
I246375,Female,67,Cosmetics,2,81.32,Cash,28/11/2021,Kanyon,162.64,2021-11-28,28,11,2021,2021-11,4,47
I103596,Male,52,Shoes,5,3000.85,Cash,3/8/2021,Kanyon,15004.25,2021-08-03,3,8,2021,2021-08,3,31
I259878,Male,44,Clothing,4,1200.32,Credit Card,12/10/2022,Metropol AVM,4801.28,2022-10-12,12,10,2022,2022-10,4,41
I206422,Female,48,Food & Beverage,2,10.46,Credit Card,28/09/2022,Kanyon,20.92,2022-09-28,28,9,2022,2022-09,3,39
I201704,Female,53,Food & Beverage,3,15.69,Cash,12/7/2021,Metrocity,47.07,2021-07-12,12,7,2021,2021-07,3,28
I168037,Male,27,Toys,4,143.36,Cash,3/7/2021,Mall of Istanbul,573.44,2021-07-03,3,7,2021,2021-07,3,26
I307534,Female,28,Cosmetics,4,162.64,Cash,26/03/2022,Viaport Outlet,650.56,2022-03-26,26,3,2022,2022-03,1,12
I259196,Female,43,Toys,4,143.36,Credit Card,17/05/2022,Cevahir AVM,573.44,2022-05-17,17,5,2022,2022-05,2,20
I141241,Male,54,Souvenir,5,58.65,Credit Card,11/4/2022,Kanyon,293.25,2022-04-11,11,4,2022,2022-04,2,15
I289973,Male,41,Food & Beverage,5,26.15,Credit Card,22/10/2021,Kanyon,130.75,2021-10-22,22,10,2021,2021-10,4,42
I147203,Female,59,Cosmetics,5,203.3,Cash,20/12/2021,Istinye Park,1016.5,2021-12-20,20,12,2021,2021-12,4,51
I323788,Female,32,Clothing,1,300.08,Credit Card,17/03/2022,Metropol AVM,300.08,2022-03-17,17,3,2022,2022-03,1,11
I285454,Female,41,Souvenir,5,58.65,Credit Card,23/06/2022,Metropol AVM,293.25,2022-06-23,23,6,2022,2022-06,2,25
I288152,Female,30,Technology,3,3150.0,Debit Card,19/06/2021,Mall of Istanbul,9450.0,2021-06-19,19,6,2021,2021-06,2,24
I134126,Male,22,Clothing,1,300.08,Debit Card,30/08/2022,Istinye Park,300.08,2022-08-30,30,8,2022,2022-08,3,35
I311052,Female,51,Clothing,4,1200.32,Cash,20/11/2021,Cevahir AVM,4801.28,2021-11-20,20,11,2021,2021-11,4,46
I176469,Female,23,Food & Beverage,2,10.46,Credit Card,31/07/2021,Viaport Outlet,20.92,2021-07-31,31,7,2021,2021-07,3,30
I167993,Male,40,Toys,2,71.68,Cash,20/02/2022,Kanyon,143.36,2022-02-20,20,2,2022,2022-02,1,7
I222086,Male,37,Clothing,5,1500.4,Cash,9/2/2023,Emaar Square Mall,7502.0,2023-02-09,9,2,2023,2023-02,1,6
I164597,Female,24,Clothing,1,300.08,Cash,24/03/2021,Mall of Istanbul,300.08,2021-03-24,24,3,2021,2021-03,1,12
I184307,Male,22,Food & Beverage,1,5.23,Credit Card,25/08/2022,Kanyon,5.23,2022-08-25,25,8,2022,2022-08,3,34
I289905,Female,61,Cosmetics,4,162.64,Cash,21/10/2021,Kanyon,650.56,2021-10-21,21,10,2021,2021-10,4,42
I416544,Female,25,Food & Beverage,2,10.46,Credit Card,28/05/2022,Metrocity,20.92,2022-05-28,28,5,2022,2022-05,2,21
I601026,Female,66,Souvenir,5,58.65,Credit Card,5/3/2022,Zorlu Center,293.25,2022-03-05,5,3,2022,2022-03,1,9
I257890,Female,59,Shoes,1,600.17,Cash,5/10/2021,Kanyon,600.17,2021-10-05,5,10,2021,2021-10,4,40
I260028,Male,38,Clothing,4,1200.32,Cash,16/04/2021,Metropol AVM,4801.28,2021-04-16,16,4,2021,2021-04,2,15
I170160,Male,34,Toys,2,71.68,Debit Card,26/02/2023,Metrocity,143.36,2023-02-26,26,2,2023,2023-02,1,8
I624164,Female,26,Clothing,1,300.08,Cash,20/03/2021,Kanyon,300.08,2021-03-20,20,3,2021,2021-03,1,11
I143353,Female,59,Souvenir,5,58.65,Cash,15/05/2022,Metrocity,293.25,2022-05-15,15,5,2022,2022-05,2,19
I278401,Female,53,Toys,1,35.84,Debit Card,31/01/2023,Mall of Istanbul,35.84,2023-01-31,31,1,2023,2023-01,1,5
I402966,Male,23,Cosmetics,4,162.64,Debit Card,2/10/2021,Viaport Outlet,650.56,2021-10-02,2,10,2021,2021-10,4,39
I244241,Female,23,Clothing,5,1500.4,Credit Card,3/8/2022,Viaport Outlet,7502.0,2022-08-03,3,8,2022,2022-08,3,31
I179048,Female,66,Technology,3,3150.0,Debit Card,28/03/2021,Cevahir AVM,9450.0,2021-03-28,28,3,2021,2021-03,1,12
I165202,Female,56,Cosmetics,4,162.64,Cash,21/11/2022,Mall of Istanbul,650.56,2022-11-21,21,11,2022,2022-11,4,47
I328321,Female,38,Souvenir,2,23.46,Credit Card,12/2/2021,Metropol AVM,46.92,2021-02-12,12,2,2021,2021-02,1,6
I417106,Male,28,Clothing,3,900.24,Cash,3/4/2021,Cevahir AVM,2700.7200000000003,2021-04-03,3,4,2021,2021-04,2,13
I248153,Female,44,Food & Beverage,1,5.23,Cash,3/7/2022,Metropol AVM,5.23,2022-07-03,3,7,2022,2022-07,3,26
I112270,Female,26,Food & Beverage,4,20.92,Cash,14/02/2021,Mall of Istanbul,83.68,2021-02-14,14,2,2021,2021-02,1,6
I318831,Female,41,Cosmetics,4,162.64,Credit Card,15/07/2022,Viaport Outlet,650.56,2022-07-15,15,7,2022,2022-07,3,28
I258322,Male,50,Clothing,4,1200.32,Cash,12/7/2021,Viaport Outlet,4801.28,2021-07-12,12,7,2021,2021-07,3,28
I334246,Female,23,Cosmetics,3,121.98,Cash,19/05/2022,Mall of Istanbul,365.94,2022-05-19,19,5,2022,2022-05,2,20
I198233,Female,31,Cosmetics,4,162.64,Cash,13/02/2023,Metropol AVM,650.56,2023-02-13,13,2,2023,2023-02,1,7
I310819,Male,26,Cosmetics,5,203.3,Credit Card,27/11/2022,Forum Istanbul,1016.5,2022-11-27,27,11,2022,2022-11,4,47
I409288,Female,56,Food & Beverage,3,15.69,Cash,2/3/2021,Viaport Outlet,47.07,2021-03-02,2,3,2021,2021-03,1,9
I131054,Female,34,Toys,4,143.36,Cash,16/10/2021,Kanyon,573.44,2021-10-16,16,10,2021,2021-10,4,41
I149521,Female,29,Clothing,2,600.16,Cash,4/11/2021,Kanyon,1200.32,2021-11-04,4,11,2021,2021-11,4,44
I156233,Female,20,Clothing,1,300.08,Credit Card,11/1/2023,Mall of Istanbul,300.08,2023-01-11,11,1,2023,2023-01,1,2
I295784,Female,54,Cosmetics,3,121.98,Credit Card,8/6/2022,Forum Istanbul,365.94,2022-06-08,8,6,2022,2022-06,2,23
I255381,Male,40,Clothing,4,1200.32,Debit Card,24/05/2021,Metrocity,4801.28,2021-05-24,24,5,2021,2021-05,2,21
I337719,Male,40,Cosmetics,5,203.3,Cash,18/01/2021,Istinye Park,1016.5,2021-01-18,18,1,2021,2021-01,1,3
I220863,Male,21,Books,4,60.6,Cash,22/07/2021,Mall of Istanbul,242.4,2021-07-22,22,7,2021,2021-07,3,29
I530401,Female,32,Technology,2,2100.0,Cash,25/09/2022,Zorlu Center,4200.0,2022-09-25,25,9,2022,2022-09,3,38
I219555,Male,47,Clothing,3,900.24,Credit Card,10/9/2021,Metrocity,2700.7200000000003,2021-09-10,10,9,2021,2021-09,3,36
I316629,Female,41,Souvenir,3,35.19,Cash,16/01/2022,Cevahir AVM,105.57,2022-01-16,16,1,2022,2022-01,1,2
I795251,Male,33,Cosmetics,5,203.3,Cash,13/11/2022,Kanyon,1016.5,2022-11-13,13,11,2022,2022-11,4,45
I151099,Female,67,Souvenir,2,23.46,Credit Card,14/03/2021,Mall of Istanbul,46.92,2021-03-14,14,3,2021,2021-03,1,10
I286193,Male,37,Cosmetics,3,121.98,Cash,23/07/2022,Istinye Park,365.94,2022-07-23,23,7,2022,2022-07,3,29
I399563,Female,38,Toys,1,35.84,Cash,24/06/2021,Metropol AVM,35.84,2021-06-24,24,6,2021,2021-06,2,25
